articleNo,complexNo,articleName,articleRealEstateTypeName,tradeTypeName,floorInfo,priceChangeState,isPriceModification,dealOrWarrantPrc,rentPrc,areaName,pyeongName,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrMaxPrc,sameAddrMinPrc,cpName,cpPcArticleUrl,latitude,longitude,realtorName,complexName,매물등록경과일,householdCountByPyeong,dealCount,leaseCount,rentCount,shortTermRentCount,roomCnt,bathroomCnt,averageTotalPrice,dealPriceMin2,dealPriceMax2,dealPricePerSpaceMin,dealPricePerSpaceMax,dealPriceString,dealPricePerSpaceString,leasePriceString,leasePricePerSpaceString,leasePriceRateString,rentPriceString,rentDepositPriceMin2,rentPriceMin2,rentDepositPriceMax2,rentPriceMax2,매매매물출현율,전세매물출현율,월세매물출현율,provider,baseYearMonthDay,dealUpperPriceLimit,dealAveragePrice,dealLowPriceLimit,dealAveragePriceChangeAmount,leaseUpperPriceLimit,leaseAveragePrice,leaseLowPriceLimit,leaseAveragePriceChangeAmount,rentLowPrice,deposit,rentUpperPrice,upperPriceLimit,averagePriceLimit,lowPriceLimit,priceChangeAmount,leasePerDealRate,floorType,downloadDate
2512796122,136913,광교더리브,아파트,매매,저/27,SAME,False,12억 7000,,112D,34D,112,84,남동향,2025-03-11,집상태최상붙박이장숲과호수뷰가 예뻐요,['15년이내' '방세개' '화장실두개' '세대당1대'],6205동,3,12억 7000,12억 7000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512796122,37.288321,127.064415,더리브 행복한광교공인중개사사무소,광교더리브,0,172,17,1,1,0,3,2,323789,103000,140000,3023,4109,10억 3000~14억,(3023~4109만원/3.3㎡),6억,(1761만원/3.3㎡),43~58%,5000/250,5000,250,5000,250,9.9%,0.6%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,저층,2025-03-11 22:19:39
2512796357,136913,광교더리브,아파트,매매,중/24,SAME,False,11억,,99B,30B,99,74,남서향,2025-03-11,원천호수뷰 조건조율가능 컨디션굿,['15년이내' '방세개' '화장실두개' '중층'],6203동,2,11억,11억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512796357,37.288744,127.063521,더리브 행복한광교공인중개사사무소,광교더리브,0,36,6,0,0,0,3,2,285127,105000,110000,3499,3666,10억 5000~11억,(3499~3666만원/3.3㎡),,,,,,,,,16.7%,0.0%,0.0%,kbstar,2025-03-07,102000,97500,92000,0,53500,50000,46000,0,0,0,0,53500,50000,46000,0,50~52%,중층,2025-03-11 22:19:39
2512785032,136913,광교더리브,아파트,매매,고/27,SAME,False,12억 2000,,112E,34E,112,84,남동향,2025-03-11,짧은세안고 호수와 공원뷰,['15년이내' '방세개' '화장실두개' '고층'],6207동,7,12억 2000,12억 2000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512785032,37.289489,127.063659,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,고층,2025-03-11 22:19:39
2512791190,136913,광교더리브,아파트,매매,중/27,SAME,False,13억,,112E,34E,112,84,남서향,2025-03-11,4베이 원천호수뷰 종일 밝은집,['15년이내' '방세개' '화장실두개' '중층'],6205동,3,13억,13억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512791190,37.288321,127.064415,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2512783394,136913,광교더리브,아파트,월세,저/27,SAME,False,5000,250,112D,34D,112,84,남동향,2025-03-11,중앙공원뷰 높은저층 주인거주,['15년이내' '방세개' '화장실두개' '세대당1대'],6209동,1,5000/250,5000/250,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512783394,37.290319,127.063138,더리브 행복한광교공인중개사사무소,광교더리브,0,172,17,1,1,0,3,2,323789,103000,140000,3023,4109,10억 3000~14억,(3023~4109만원/3.3㎡),6억,(1761만원/3.3㎡),43~58%,5000/250,5000,250,5000,250,9.9%,0.6%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,저층,2025-03-11 22:19:39
2512794511,136913,광교더리브,아파트,매매,중/27,SAME,False,12억,,112E,34E,112,84,남서향,2025-03-11,추천매물 그림같은 호수뷰 입주투자모두가능,['15년이내' '방세개' '화장실두개' '중층'],6205동,3,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512794511,37.288321,127.064415,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2512785391,136913,광교더리브,아파트,매매,저/26,SAME,False,11억,,99A,30A,99,74,남서향,2025-03-11,인테리어 학교가까운동 따뜻한집,['15년이내' '방세개' '화장실두개' '세대당1대'],6201동,2,11억,11억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512785391,37.289709,127.062411,더리브 행복한광교공인중개사사무소,광교더리브,0,97,6,0,0,0,3,2,285127,103000,120000,3433,3999,10억 3000~12억,(3433~3999만원/3.3㎡),,,,,,,,,6.2%,0.0%,0.0%,kbstar,2025-03-07,102000,97500,92000,0,53500,50000,46000,0,0,0,0,53500,50000,46000,0,50~52%,저층,2025-03-11 22:19:39
2512794085,136913,광교더리브,아파트,매매,중/27,SAME,False,12억 2000,,112E,34E,112,84,남동향,2025-03-11,세안고 신대호수뷰 입주협의,['15년이내' '방세개' '화장실두개' '중층'],6208동,2,12억 2000,12억 2000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512794085,37.289879,127.063419,더리브 행복한광교공인중개사사무소,광교더리브,0,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,중층,2025-03-11 22:19:39
2512797479,136913,광교더리브,아파트,매매,저/27,SAME,False,11억 5000,,112D,34D,112,84,남동향,2025-03-11,산과 원천호수뷰 주인거주로 컨디션좋아요 입주협의,['15년이내' '방세개' '화장실두개' '세대당1대'],6205동,1,11억 5000,11억 5000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512797479,37.288321,127.064415,더리브 행복한광교공인중개사사무소,광교더리브,0,172,17,1,1,0,3,2,323789,103000,140000,3023,4109,10억 3000~14억,(3023~4109만원/3.3㎡),6억,(1761만원/3.3㎡),43~58%,5000/250,5000,250,5000,250,9.9%,0.6%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,저층,2025-03-11 22:19:39
2512123820,136913,광교더리브,아파트,매매,고/27,SAME,False,12억,,112E,34E,112,84,남동향,2025-03-08,호수공원뷰가 최상임.,['15년이내' '방세개' '화장실두개' '고층'],6206동,1,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512123820,37.288908,127.064001,더리브 축복공인중개사사무소,광교더리브,3,302,29,5,1,0,3,2,323370,100000,130000,2938,3820,10억~13억,(2938~3820만원/3.3㎡),5억 9000~7억,(1734~2057만원/3.3㎡),45~70%,3억/150,30000,150,30000,150,9.6%,0.3%,0.0%,kbstar,2025-03-07,116500,109000,100000,0,65500,61000,58000,0,0,0,0,65500,61000,58000,0,56~58%,고층,2025-03-11 22:19:39
