aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,matchedRoadAddress,complexNo,downloadDate,complexName,pyeongName,pyeongName2,max_floor,floor_type,dealDate,dealDateClass,pyeongName3
 ,광교더리브,41117-287,1013,0000,2013, , , ,"64,500",9,3,2021, , ,84.92,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-03-09,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,000",5,3,2021, , ,84.81,1,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,000",2,3,2021, , ,84.81,22,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"113,000",2,3,2021, , ,84.81,3,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,500",30,4,2021, , ,84.81,25,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-30,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,500",20,4,2021, , ,84.92,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-04-20,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"101,700",17,4,2021, , ,74.78,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"101,700",17,4,2021, , ,74.78,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"106,000",25,4,2021, , ,84.81,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-25,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,000",10,4,2021, , ,84.92,15,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-04-10,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",17,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",17,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"100,000",9,4,2021, , ,84.81,1,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-09,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,000",2,4,2021, , ,84.81,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"87,000",12,4,2021, , ,84.81,22,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-12,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",5,4,2021, , ,84.81,5,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"103,000",3,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-03,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"103,000",3,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-03,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"85,500",24,5,2021, , ,84.81,27,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-05-24,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,000",19,5,2021, , ,84.92,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-05-19,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"124,500",1,5,2021, , ,84.81,27,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-05-01,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"119,800",18,5,2021, , ,84.92,19,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-05-18,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"116,500",4,5,2021, , ,84.92,27,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-05-04,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"103,000",13,5,2021, , ,74.78,24,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-05-13,5,30
